name,LogFC,mean_pg,mean_control,f,f_WT,delta,delta_WT,delta_WT_norm,pvalue,pvalue_WT,padj,padj_WT
AAC1,-0.09979816658205642,5.932528112698178,6.032326279280235,-0.016543894007332135,-0.01796365507908272,-0.09979816658205642,-0.10885033818511491,-12.024776259029078,0.7473228859184431,0.7256595254785083,0.9999006939421432,1
AAC3,-0.05852961446746008,6.126218950177066,6.184748564644526,-0.00946353984413336,-0.010883300915883949,-0.05852961446746008,-0.06758178607051857,-7.465809204023979,0.9039137312066692,0.8891885145489935,0.9999006939421432,1
AAD3,0.18228720162849754,4.080480507345788,3.8981933057172906,0.0467619708240599,0.045342209752309307,0.18228720162849754,0.17323503002543905,19.137400131357154,0.49443020937252186,0.5143423521339916,0.9999006939421432,1
AAD6,0.019105820274649687,5.2775972657998045,5.258491445525155,0.003633327252230916,0.0022135661804803274,0.019105820274649687,0.010053648671591198,1.1106339022775855,0.8868597343543896,0.9402432703993017,0.9999006939421432,1
AAH1,0.0401255526239197,8.151320524689707,8.111194972065787,0.004946934793468587,0.0035271737217179985,0.0401255526239197,0.031073381020861213,3.4326990675212494,0.5864798661684948,0.66872063897539,0.9999006939421432,1
AAN1,0.1144407266391787,3.161628429345426,3.0471877027062475,0.03755617894412687,0.03613641787237628,0.1144407266391787,0.10538855503612021,11.642350549398799,0.8514654120542047,0.863037832583374,0.9999006939421432,1
AAP1,0.06822127060358607,6.360481218983777,6.292259948380191,0.010842093486800111,0.009422332415049523,0.06822127060358607,0.05916909900052758,6.536453526857125,0.8887937337063527,0.9034396532412312,0.9999006939421432,1
AAT1,0.017301266584616393,5.610656444890074,5.593355178305457,0.003093182183695676,0.0016734211119450878,0.017301266584616393,0.008249094981557903,0.911283539827145,0.9655219008654174,0.9835551826145933,0.9999006939421432,1
AAT2,-0.19170691446998323,1.7084438364048187,1.900150750874802,-0.10089037113593442,-0.102310132207685,-0.19170691446998323,-0.20075908607304171,-22.178002680065248,0.9088943600040102,0.9046218529543442,0.9999006939421432,1
ABP1,-0.14927014545467632,4.518219875337194,4.66749002079187,-0.03198081726789673,-0.03340057833964732,-0.14927014545467632,-0.1583223170577348,-17.489981851895283,0.7997742937483521,0.7880284821830483,0.9999006939421432,1
ABP140,0.2198830672097003,4.886916963113183,4.667033895903483,0.0471140926151627,0.04569433154341211,0.2198830672097003,0.2108308956066418,23.290642826016203,0.33713166799293703,0.3551125854668976,0.9999006939421432,1
ABZ1,0.010807405900877143,8.576304463500113,8.565497057599236,0.001261737156431442,-1.580239153191464e-4,0.010807405900877143,0.001755234297818653,0.19390201321698383,0.9838445632974604,0.997375943252155,0.9999006939421432,1
ACA1,-0.19370326692256334,4.5724842708560995,4.766187537778663,-0.04064113411131971,-0.0420608951830703,-0.19370326692256334,-0.20275543852562183,-22.3985411917198,0.5722901321564082,0.5553276438326622,0.9999006939421432,1
ACB1,-0.15515017919040108,5.14627793485244,5.301428114042841,-0.029265732903069466,-0.030685493974820052,-0.15515017919040108,-0.16420235079345957,-18.139553467808756,0.8029681591358687,0.7918627118606446,0.9999006939421432,1
ACF2,-0.13852791259901842,4.723431322242191,4.861959234841209,-0.02849219952448711,-0.0299119605962377,-0.13852791259901842,-0.1475800842020769,-16.303279552523453,0.8361695000756506,0.8256997568916241,0.9999006939421432,1
ACF4,-0.018395775850429175,9.754293217158274,9.772688993008703,-0.0018823658323302167,-0.003302126904080805,-0.018395775850429175,-0.027447947453487664,-3.0321947767996056,0.9618433719141465,0.9431052902380277,0.9999006939421432,1
ACK1,-0.3114067402675289,4.572396976542825,4.883803716810354,-0.06376315640934702,-0.0651829174810976,-0.3114067402675289,-0.3204589118705874,-35.401329749682695,0.307639355817015,0.29577006350391305,0.9999006939421432,1
ACL4,0.6481266522226621,4.303591760762935,3.655465108540273,0.17730347109823097,0.17588371002648037,0.6481266522226621,0.6390744806196036,70.59902404011842,0.6571110052015204,0.6614723057342043,0.9999006939421432,1
ACM1,0.2493200110203979,5.519277447245105,5.269957436224707,0.047309682106086576,0.045889921034335986,0.2493200110203979,0.24026783941733942,26.542563481248994,0.39264752154475047,0.407749954855358,0.9999006939421432,1
ACO2,-0.2968677970094107,3.346648419811947,3.6435162168213577,-0.0814783794947402,-0.08289814056649078,-0.2968677970094107,-0.3059199686124692,-33.79520208268112,0.6637080560524028,0.6543727811588986,0.9999006939421432,1
ACS1,0.21502318422930067,6.183510583747365,5.9684873995180645,0.03602641169128766,0.03460665061953707,0.21502318422930067,0.20597101262624218,22.753768008181595,0.6047309337013367,0.6193700768626464,0.9999006939421432,1
ADD66,0.13050644098648956,6.304575239904862,6.1740687989183725,0.021137833936893093,0.019718072865142502,0.13050644098648956,0.12145426938343107,13.417141732310386,0.7160412507131938,0.7345939799813883,0.9999006939421432,1
ADE16,-0.03714788789056911,8.689193526821695,8.726341414712264,-0.004256983095795364,-0.005676744167545952,-0.03714788789056911,-0.0462000594936276,-5.103754272402195,0.772293816026831,0.7198080219895392,0.9999006939421432,1
ADE17,0.007087221146633738,9.77079119587669,9.763703974730056,7.258742343045773e-4,-6.938868374460111e-4,0.007087221146633738,-0.001964950456424752,-0.21706951023341706,0.9622235885268762,0.9895211368775771,0.9999006939421432,1
ADH2,-0.09858801176488452,4.0935759370370635,4.192163948801948,-0.023517212821091923,-0.02493697389284251,-0.09858801176488452,-0.10764018336794301,-11.89108957364156,0.7920420618459452,0.773691093353742,0.9999006939421432,1
ADH4,-0.29721196688447815,2.958278528381609,3.2554904952660872,-0.09129560271076312,-0.0927153637825137,-0.29721196688447815,-0.30626413848753664,-33.83322277983087,0.8990535120245251,0.8960033129389186,0.9999006939421432,1
ADH5,0.2979671175396761,4.111758542283031,3.813791424743355,0.07812884459451724,0.07670908352276666,0.2979671175396761,0.2889149459366176,31.916644823547188,0.7457565105444988,0.7531120463923119,0.9999006939421432,1
ADH6,0.1478405438049526,5.526344162102145,5.378503618297192,0.02748730024128127,0.026067539169530682,0.1478405438049526,0.1387883722018941,15.332052714842611,0.5946215147084988,0.6164531136792489,0.9999006939421432,1
ADI1,-0.13455930923894144,4.959719429065393,5.094278738304334,-0.02641380971700234,-0.027833570788752926,-0.13455930923894144,-0.14361148084199993,-15.864865044480311,0.5816021208008463,0.5581545591512822,0.9999006939421432,1
ADK2,0.029398441561180988,5.911687284230961,5.88228884266978,0.0049977895250444705,0.003578028453293882,0.029398441561180988,0.020346269958122498,2.247667283643632,0.94931890310386,0.964906463207241,0.9999006939421432,1
ADP1,0.002425024285764188,1.8435988724408734,1.8411738481551092,0.0013171077180974017,-1.0265335365318667e-4,0.002425024285764188,-0.006627147317294302,-0.7321057982435025,0.9986388179963828,0.9962801554531041,0.9999006939421432,1
ADY2,0.1584028482622255,4.975078248498004,4.816675400235779,0.032886344854060875,0.031466583782310285,0.1584028482622255,0.14935067665916701,16.498878192798,0.6605798479721712,0.6784182694998306,0.9999006939421432,1
ADY3,0.04905145451112869,5.105347565267402,5.056296110756273,0.009701064462340604,0.008281303390590015,0.04905145451112869,0.0399992829080702,4.418749959905256,0.8859218071724028,0.9068184407583116,0.9999006939421432,1
ADY4,0.4728677845127214,4.720084812024474,4.247217027511753,0.11133591277527738,0.1099161517035268,0.4728677845127214,0.4638156129096629,51.23804908348753,0.32690463065617775,0.3347397968081583,0.9999006939421432,1
AEP1,0.023612184782346057,1.5091648361529453,1.4855526513705992,0.015894545885372022,0.014474784813621433,0.023612184782346057,0.014560013179287568,1.60845527656238,0.9864394989532572,0.9916378069512037,0.9999006939421432,1
AFB1,0.261225672732067,4.2653414333219075,4.0041157605898405,0.06523929085746168,0.0638195297857111,0.261225672732067,0.2521735011290085,27.85779061499516,0.5959151231661483,0.6080797876360242,0.9999006939421432,1
AFG1,-0.003693697167526544,4.940639295327413,4.94433299249494,-7.470567158670845e-4,-0.002166817787617673,-0.003693697167526544,-0.012745868770585034,-1.4080454204247013,0.9946340609717075,0.9814858737402219,0.9999006939421432,1
AFI1,0.0021985902055750017,4.135240855509513,4.133042265303938,5.319544452839803e-4,-8.878066264666081e-4,0.0021985902055750017,-0.006853581397483488,-0.7571201362519292,0.991232545623622,0.9726785288672825,0.9999006939421432,1
AFR1,-0.060187772819687346,4.186023898173498,4.246211670993185,-0.014174463612081184,-0.015594224683831773,-0.060187772819687346,-0.06923994442274584,-7.6489871667204685,0.8999212158966348,0.8850136517437928,0.9999006939421432,1
AGC1,-0.05697063895801602,2.9658604870315344,3.0228311259895504,-0.018846781901971508,-0.020266542973722095,-0.05697063895801602,-0.06602281056107451,-7.2935880423176185,0.9416659511890209,0.9324274980505587,0.9999006939421432,1
AGE1,0.054438000981772205,5.2943405337704394,5.239902532788667,0.010389124729157966,0.008969363657407378,0.054438000981772205,0.045385829378713716,5.013805677676177,0.8883553385342899,0.9067862343594972,0.9999006939421432,1
AGE2,-0.07527565743758924,7.302662977762902,7.377938635200492,-0.010202803406149997,-0.011622564477900586,-0.07527565743758924,-0.08432782904064773,-9.31575678615677,0.8639660741215636,0.8478937812460001,0.9999006939421432,1
AGP3,-0.07613630104441027,3.3560545666531163,3.4321908676975266,-0.022183003212605728,-0.023602764284356315,-0.07613630104441027,-0.08518847264746876,-9.410832713189597,0.863252786095092,0.8472875494283214,0.9999006939421432,1
