name,LogFC,pvalue,padj
AAC1,0.19403470998378777,0.6452896952485851,0.9992707319087202
AAC3,5.199547099815873,4.2464620348744175e-17,3.8457021803331444e-15
AAD3,-0.33899571043854176,0.6240340376872626,0.9992707319087202
AAD6,-0.6253060382944344,0.3848485180762238,0.9992707319087202
AAH1,0.05718171416780025,0.8739055186112675,0.9992707319087202
AAN1,0.5248814618722026,0.7322025054473875,0.9992707319087202
AAP1,-0.389595040245111,0.4050871771724859,0.9992707319087202
AAT1,-0.4946333261805755,0.3662291756867852,0.9992707319087202
ABP1,0.34293759248624195,0.6498302850415336,0.9992707319087202
ABP140,0.4736589676240049,0.5454973042551328,0.9992707319087202
ABZ1,-0.0661608370490779,0.9008579971772406,0.9992707319087202
ACA1,-1.2919069926863602,0.031060257126430502,0.4891990497412804
ACB1,0.01797657195416073,0.9778880899203873,0.9992707319087202
ACF2,0.02585785256993352,0.972389116816366,0.9992707319087202
ACF4,-0.006298446535395916,0.990430315458734,0.9992707319087202
ACK1,0.41221652532514896,0.5569922934306697,0.9992707319087202
ACL4,1.8992359669907284,0.11962566155005708,0.9648792722200354
ACM1,-0.040456214887401795,0.9302461889077052,0.9992707319087202
ACO2,-0.663763246437909,0.6737318104265964,0.9992707319087202
ACS1,-0.07911318067924461,0.9073935560364922,0.9992707319087202
ADD66,0.41319621496072384,0.32005785264394493,0.9992707319087202
ADE16,-0.07612247057731218,0.8372233240778503,0.9992707319087202
ADE17,-0.16207871862185366,0.5976802826456911,0.9992707319087202
ADE3,-22.411192086997403,NA,NA
ADH2,-0.2869448998305307,0.7846650276459127,0.9992707319087202
ADH4,0.26531556687231195,0.8729249914612172,0.9992707319087202
ADH5,-1.1220602685509242,0.21892372701944313,0.9992707319087202
ADH6,-0.5546380759664162,0.25303955777292053,0.9992707319087202
ADI1,-0.8440493840126565,0.09167052517412241,0.8825952888857367
ADK2,-1.0680933737197598,0.04503577958017002,0.621022373000891
ADY2,-0.3131651112643829,0.5911688414337053,0.9992707319087202
ADY3,-0.17839003270157325,0.739516914473582,0.9992707319087202
ADY4,-1.070300896378994,0.07257655073526884,0.7966925910257919
AFB1,1.1615658805431814,0.13006773031306043,0.981604902206378
AFG1,0.6765273613617208,0.27911872578763314,0.9992707319087202
AFI1,0.42378129978964996,0.5656422906738028,0.9992707319087202
AFR1,-0.3918511027304732,0.6363642593313701,0.9992707319087202
AGC1,-0.4134059641976569,0.7358981816088341,0.9992707319087202
AGE1,-0.5095208829517924,0.34037377415791475,0.9992707319087202
AGE2,4.769936744632201,7.182056136613987e-27,1.8921453349006666e-24
AGP3,-0.4639235367401726,0.6246565480024768,0.9992707319087202
AGX1,0.019453466976173152,0.9691189547861585,0.9992707319087202
AHA1,-0.9646063544346647,0.43278765151072474,0.9992707319087202
AHC1,0.38324350852231515,0.4250900117545764,0.9992707319087202
AHP1,0.13214997315361707,0.7947104037681884,0.9992707319087202
AHT1,-0.17891233530136727,0.7014723564009746,0.9992707319087202
AIF1,-0.4546764779153964,0.7558108696427476,0.9992707319087202
AIM14,-0.2874709356476794,0.4294352652081187,0.9992707319087202
AIM17,-0.05115007724276365,0.8915453971861091,0.9992707319087202
AIM18,2.697129496278892,0.00767498685483595,0.1544591104535735
AIM19,-0.3146759676811294,0.3613460400907494,0.9992707319087202
AIM20,-0.7141100836684071,0.15592512771787506,0.9992707319087202
AIM21,0.2466870516579748,0.7444658120919634,0.9992707319087202
AIM24,-0.8652318144913298,0.36447880246574926,0.9992707319087202
AIM25,-0.19547921895747983,0.7149333754872786,0.9992707319087202
AIM26,-0.005763221441713828,0.9946766258976997,0.9992707319087202
AIM32,-0.18191006400806212,0.625253811682182,0.9992707319087202
