name,LogFC,mean_pg,mean_control,f,f_WT,delta,delta_WT,delta_WT_norm,pvalue,pvalue_WT,padj,padj_WT,exp
AAC1,0.03710310185996857,5.932528112698178,5.89542501083821,0.006293541482040369,0.021983323766071046,0.03710310185996857,0.13336855648510504,1.3854248858476834,0.9019636402516569,0.6619111834204754,0.9979039075422546,0.999525168978149,pg_pd
AAC3,3.4384042126981016,6.126218950177066,2.687814737478964,1.2792564028885238,1.2949461851725546,3.4384042126981016,3.534669667323238,36.717944989585895,0.0027989094696862405,0.0025273956906755545,0.2542208753182894,0.2515533587852072,pg_pd
AAD3,-0.3021856581062634,4.080480507345788,4.382666165452052,-0.06895018846937304,-0.05326040618534236,-0.3021856581062634,-0.20592020348112694,-2.1390872175589126,0.0828779993394861,0.17263646045832098,0.9507120140058316,0.999525168978149,pg_pd
AAD6,-0.21982681260193804,5.2775972657998045,5.4974240784017425,-0.03998723938100259,-0.024297457096971915,-0.21982681260193804,-0.12356135797680157,-1.2835482724094225,0.7603183540796733,0.8625809474542281,0.9954936997189089,0.999525168978149,pg_pd
AAH1,-0.051683051482317666,8.151320524689707,8.203003576172025,-0.006300503346413977,0.0093892789376167,-0.051683051482317666,0.044582403142818805,0.4631194369405452,0.6019817531043223,0.6512378561849996,0.9954936997189089,0.999525168978149,pg_pd
AAN1,1.0496603173643826,3.161628429345426,2.1119681119810436,0.49700576036623606,0.5126955426502667,1.0496603173643826,1.145925771989519,11.903810940818008,0.4112939398182149,0.37628564964150824,0.9954936997189089,0.999525168978149,pg_pd
AAP1,-0.44803275822409816,6.360481218983777,6.808513977207875,-0.06580477909334238,-0.05011499680931171,-0.44803275822409816,-0.3517673035989617,-3.6541384961901957,0.3281810534090697,0.43016455765501477,0.9954936997189089,0.999525168978149,pg_pd
AAT1,-0.3601490679455974,5.610656444890074,5.970805512835671,-0.060318338484040564,-0.04462855620000988,-0.3601490679455974,-0.26388361332046095,-2.741207781628828,0.41810792029409516,0.5427099396423819,0.9954936997189089,0.999525168978149,pg_pd
AAT2,1.2069786004900485,1.7084438364048187,0.5014652359147702,2.4069038370890947,2.4225936193731252,1.2069786004900485,1.303244055115185,13.53802420806193,0.33045781671824437,0.29900320807460196,0.9954936997189089,0.999525168978149,pg_pd
ABP1,0.0713171520748288,4.518219875337194,4.446902723262365,0.01603748867762699,0.031727270961657665,0.0713171520748288,0.16758260669996528,1.7408384695480028,0.8954451645486713,0.7587319540747619,0.9979039075422546,0.999525168978149,pg_pd
ABP140,0.42451885120668287,4.886916963113183,4.4623981119065,0.09513244685049242,0.1108222291345231,0.42451885120668287,0.5207843058318193,5.409877383946142,0.5478850665861108,0.4707104122962626,0.9954936997189089,0.999525168978149,pg_pd
ABZ1,-0.15202076381885732,8.576304463500113,8.72832522731897,-0.017416945388680556,-0.0017271631046498793,-0.15202076381885732,-0.05575530919372085,-0.5791829416984048,0.7714465907394059,0.9147246807790153,0.9954936997189089,0.999525168978149,pg_pd
ACA1,-0.9056030537547821,4.5724842708560995,5.478087324610882,-0.1653137308867395,-0.14962394860270883,-0.9056030537547821,-0.8093375991296456,-8.407352380781408,0.12548250921569687,0.15581547535600174,0.9954936997189089,0.999525168978149,pg_pd
