name,pd1,pd2,pd3,pg1,pg2,pg3,rd1,rd2,rd3,rg1,rg2,rg3,yd1,yd2,yd3,yg1,yg2,yg3
AAC1,5.907184053195783,6.259736801047098,5.519354178271749,5.896116138972808,6.2688749361994764,5.632593262922251,6.508033593068053,6.092679745654607,6.017584850943854,6.173240908052547,6.325867728185137,5.597870201603022,7.844704036429759,7.75670908033352,7.810155346589821,6.718137062461427,6.544783464089377,6.477167192132969
AAC3,2.5904040133462107,3.336191269468935,2.1368489296217463,6.603126175441148,6.410931529647359,5.364599145442689,2.6996631609525767,2.4616942699595734,2.5985979277182003,6.409038145135316,6.423771943166509,5.721435605631752,6.797214727919034,6.829841568923178,6.936300266216924,6.51933427948368,6.464630081854276,5.94108190160774
AAD3,4.333373318404834,4.347792181147415,4.466832996803906,4.062899956066406,4.266611850593031,3.9119297153779264,4.516740438164922,4.4253039961142875,4.238341189647629,3.503762981736576,4.221352548953186,3.96946438646211,4.680182212300389,4.945300366244157,4.557568464379308,4.12143900668531,4.699841729401013,4.395455501918593
AAD6,6.37621570763634,4.280652878309787,5.835403649259101,5.266872760392342,5.174168902498431,5.391750134508641,5.861561551078237,5.265054650866109,5.07707368717591,5.4649991012701165,5.2041330220961735,5.106342213209174,6.854750632528423,6.846163337408872,6.583400555453763,5.487366064980767,5.446171175421267,4.692187409890292
AAH1,8.069255626114106,8.259555412577477,8.280199689824489,8.05159001468207,8.137510883543017,8.264860675844035,8.10614480126039,8.31640796181606,8.343079312396993,8.088178736255221,8.111257749127713,8.134148430814427,7.744100580371391,7.65056892438449,7.984083654025754,8.388425815466462,8.09654724500408,8.502447025841462
AAN1,0.6444938642908974,4.0470380271282815,1.6443724445239523,2.915497503228864,3.816694979914033,2.752692804893382,4.293596886850712,4.188915218050057,1.1322608589247731,2.837284048258792,3.9336704765014043,2.3706085833585466,5.018955945909881,5.514394898134123,4.8424995034592,3.129798837569368,3.891010149841605,3.160711038925904
AAP1,7.0126810506413895,7.053241600549567,6.359619280432669,5.865185838281448,6.974662051695241,6.241595766974642,6.235032755511104,7.126311914591085,6.482537964403521,6.1154213371637205,6.9168239678485355,5.8445345401283175,6.236627594593979,6.741217845620875,6.193038215531356,6.129869512721957,7.217131505063404,6.404279476384476
AAT1,6.571419890261308,5.41115853075385,5.929838117491856,5.990502957677363,5.504776019667246,5.336690357325613,6.617821154948238,5.257450051480889,5.582724655151884,6.133120914263121,5.6076469100730755,5.039297710580176,7.046044951217677,7.069555923713786,7.0433904460389964,5.905101265680745,5.936875395987837,5.937198401581342
AAT2,-0.048653316269047966,1.6134246717278315,-0.06037564771447304,2.116989807011093,3.028237619549763,-0.01989591734639949,2.6196204532790404,2.1740121975077926,0.03364857025666353,2.600895270194562,3.673387378237738,-0.5738303958078939,3.9870350317404437,4.316691706821783,3.5432165193289387,2.479211271428219,3.4172257977559637,1.4867346053542323
ABP1,4.494641466000956,5.014622053389987,3.8314446503961537,5.262099481639685,4.252013051171878,4.040547093200019,6.072250008573466,5.644942917184623,4.608359548760046,5.304491120947391,4.771999666905848,3.9259792745223714,6.26842943775485,6.480373863389395,6.271267387137819,5.307510600682006,5.336818638493903,4.770148951360004
ABP140,5.50817474543049,4.3984359139661695,3.480583676322841,4.847018914832078,4.657478159280043,5.15625381522743,5.288005397988819,4.936129619880278,5.613378396242886,4.903480363188607,4.419178292283105,4.678443032238736,6.194954898193411,6.310541318166215,6.182273848944197,4.984737208418955,4.825993014727913,4.664788435702178
ABZ1,8.133346820024357,9.279927588353862,8.77170127357869,7.8963606389914505,9.116601991397705,8.715950760111182,8.345653536870062,9.443048462975902,8.943424243950052,7.9681166153898095,9.181133048997792,8.547241508410107,8.378692559475287,8.523946339958393,8.100913854926866,8.452596705136294,9.199371248447754,8.738552290224257
ACA1,6.187716273934656,5.365278925003157,4.881266774894831,4.763952316133465,4.768703794390267,4.184796702044566,5.0905408610923,5.7528907564074006,4.7157797973808835,5.186149893816844,4.780968336888608,4.3314443826305356,6.253491400645983,6.401975524125847,6.408011435435454,5.1872614725304285,4.97057424353902,4.4656597605918416
ACB1,5.674931785683333,5.525447677155977,5.081287908788187,4.889578529250874,6.103243073998262,4.446012201308184,5.59854560851665,6.64374441260078,5.115052935241127,5.356676874117962,5.7695797303423895,4.778027737668173,6.515340997062999,6.7481096716587965,6.418320805094314,5.369583029324383,5.21903560283752,5.079470198915266
ACF2,5.326625091415117,5.307291667352807,3.919306006187488,5.532893336062943,4.498413464650356,4.138987166013273,6.029116637755891,4.314078361004063,2.6727058998719224,5.609872770498574,4.9751243513295655,4.000880582695489,6.274997605866948,6.513916284158002,6.273245627149924,4.712803492935313,4.9445987571357595,4.395455501918593
ACF4,9.707319820978531,9.723671658754107,10.260505583795092,9.392239070256462,9.573946410791256,10.296694170427104,9.759346872178066,9.98537815520671,10.379575833692318,9.425413857272899,9.679807104655938,10.212846017097272,8.112346736942305,8.16284196809922,8.587227974582193,8.822652241693378,8.852138041482458,9.441223912235813
ACK1,3.8831723164552776,4.557863650894272,4.534744202420117,4.338605837471471,4.876692432454363,4.501892659702641,5.054694729319165,5.529747205093191,5.598168977579357,4.663529693558017,5.304216480653156,4.683664976219887,6.55940098685703,6.801598356609783,6.564380230774733,5.414839620912504,5.566165133932721,4.952470508153959
ACL4,1.8972568327862653,4.547281541563735,1.8114265291871186,5.019631657499072,5.202989341033923,2.688154283755811,5.310863536064869,5.280092528230649,2.5985979277182003,4.7831941973141054,4.677589982434773,1.5056111458719421,5.694711383757958,5.718490254477639,5.5681698757247045,4.569015600143601,4.315167390961922,4.149322432379685
ACM1,5.617773371843384,6.0298527331190455,5.281958604250338,5.326937001134993,5.667294949165021,5.563600391435299,5.240659277391621,6.178310479045109,5.551101466721371,5.181112099786887,5.697259068762763,4.931501140124469,7.133686964540247,7.005813898038474,6.887255487151146,6.123354831700763,5.69837055951214,5.2933970951245515
ACO2,-0.048653316269047966,3.222862584161932,4.9569041891004515,2.692353951914655,3.0770277837191946,4.270563523801991,2.7737711331062984,2.780148001078108,4.176783296648196,3.581724523206288,2.952841223489678,4.395982903768107,5.618802420572633,5.466076320863316,5.234094763703213,3.865505632548109,3.727380726059803,3.8538582194858493
ACS1,5.1930936987905945,6.566430852987451,6.779635979181145,5.5365363273414445,6.498650070233391,6.515345353667259,5.887286442316673,6.684871704024642,6.65372177678702,5.682805239989605,6.3334578974518125,5.889199061112776,6.7962433825294015,7.098998678530485,6.695693507887235,6.381183941002863,6.981194602289285,6.214122424066573
ADD66,6.210928147795875,6.190195383194225,6.053306532117758,6.631505624731053,6.533795016536161,5.748425078447372,6.514836340390805,6.469027455192045,5.449748972461084,6.362095385888124,6.335346472139681,5.8247645387273135,7.072195115195693,7.004751763047491,7.134282663420431,6.952753014937874,6.745091906332569,6.710687556613406
ADE16,8.576856018630648,8.934348643203165,8.937328279465396,8.510394739164292,8.82307882515293,8.734107016147862,8.545879590261746,8.830310180861114,8.773345108099688,8.577076960438026,8.817103513024785,8.784843770673982,7.717381433637882,7.632580805859981,7.6625000298982915,8.930076560310003,8.931509505805085,9.204975557313547
ADE17,10.027568313036209,9.963476501945145,9.956016393026932,9.933451574509077,9.658261156933287,9.720660856187706,9.946195710231144,9.421567503203818,9.736243180413402,9.982687699494853,9.610138849910891,9.698285374784424,9.101255072200704,9.063930954346413,9.334935868495712,9.992374816662295,9.788630423311691,9.94112998194643
ADH2,5.144303534621162,2.083428300973567,4.315381373945813,4.573725579832397,4.143379210169083,3.56362302110971,3.9848614052010984,3.937600789769151,3.588996631746077,4.262292921559373,4.4691887128577665,3.845010211988704,6.0884116502865355,6.024276680395408,5.84276670862783,4.629033609869854,3.9460699270246327,4.259323327594013
ADH4,5.093010240233612,3.469722662093458,0.3450894603936914,5.055563666725135,3.8391678357660917,-0.01989591734639949,3.3535896283592406,2.3281628773350507,1.1322608589247731,5.1658446276560985,4.4813100733901114,0.11931678475205144,6.187837430424548,6.419300307783153,6.338278097420778,4.756478556437974,5.124724923366279,4.636617558735481
ADH5,3.7125467994245147,5.867617934891828,5.042534922490954,3.4162727911413535,5.08875115134408,3.830251684363659,3.502009633477514,5.850312869414869,4.192531653616335,3.4763640075484616,5.137643280827341,2.827366985854262,6.384930304538814,6.212247969731481,6.164806155903807,4.998250927585677,5.014468437096245,4.531257043077655
ADH6,5.542333664241808,6.317534805570826,5.995236719217261,5.5070138880751225,5.778708536535925,5.293310061695387,5.790705614310892,5.457426543513565,5.0962436032836305,5.7705808508719905,5.314742893640143,5.0501871103794445,7.53312376781706,7.491485019119795,7.274371456591113,6.067349155740623,5.9196547982361665,5.715998485475703
ADI1,5.484736172458472,5.556946344215349,5.756735512248731,5.0437292090781325,5.043140640092028,4.792288438026018,5.417917532229028,5.24206513264141,5.390234844928676,4.896791375037811,5.491815094547954,4.894229745327237,6.609831840483922,6.725886534874086,6.492428777248037,5.198311308717014,5.267825767006952,4.909910893735163
ADK2,7.434591099804802,6.635988536689361,6.003409560973135,5.610124683998934,6.43110028053098,5.69383688816297,6.174968514768453,7.380762370530339,5.916970958744942,5.906560225135154,6.467697923624355,5.272608379249831,8.031217521415083,8.131997292748123,7.964973643957732,6.636791423007474,6.671819705226244,6.279766528511893
ADP1,-0.048653316269047966,3.336191269468935,-0.7535228282744183,-0.08023477032512652,3.3283422120001007,2.282689175647646,0.13471380349103987,1.4808650169478472,0.03364857025666353,1.502282981526452,3.4964566700786595,0.5247818928602159,5.599693558874587,5.033005946663263,5.30420432989024,3.8229460181293136,4.079601319649155,3.5236165326152724
ADY2,5.410932197875111,4.994419346072467,5.438839661200454,4.664697358038124,5.444151397850812,4.816385989605078,4.68859069509158,4.776701882952176,4.73412893604908,4.629043517486847,5.2828252906718385,4.53815739254865,6.046109270595846,6.271490803294342,6.13120837093763,5.7842647925374715,5.873961570577268,5.336882207064291
ADY3,5.722787806860968,5.079160574527558,5.1518390197801525,4.861407652284178,5.470584654918968,4.9840503885990595,4.938734848224296,5.729360258997207,5.776651758066146,5.134592084151994,5.4606321671112665,4.5736640810055595,7.271456934506515,7.3847446419553995,7.305825085959559,6.062730209884329,5.9821751552175,5.541413911183901
ADY4,6.155904446299642,5.109932233194312,5.18137136734517,4.55449421790451,5.082361353245309,4.523398864923604,4.0859575220724675,6.284886061681104,4.403096422723685,3.881829115656626,4.967744244031943,3.89207772284669,6.575284033030034,6.7342781925103345,6.5790432500848075,5.531638888658755,5.367455607955793,5.079470198915266
AEP1,-0.048653316269047966,0.003986759293731071,0.3450894603936914,2.116989807011093,2.4304006187941423,-0.01989591734639949,0.13471380349103987,0.3822527282797375,0.03364857025666353,2.195430162086397,2.8350581878332943,-0.5738303958078939,4.465070832683444,5.001995709920702,3.978534590586784,2.633361951255477,3.2165551022938126,2.585346894022342
AFB1,3.4170825865306784,3.7416563775770997,3.5369366128739728,4.5348857465161325,4.389214172685364,3.871924380764227,4.309101073386677,3.783450109941893,3.840311060026983,4.584192951321495,4.1733433297668245,3.2548110006812014,6.062436163883275,6.121387967080557,6.028123169116939,4.773428114751748,4.420527906619748,4.4656597605918416
AFG1,4.6875451321254475,5.001199033057846,4.173730856882787,5.379350743819033,5.1857969404935504,4.256770201669656,5.447919782532827,5.670519758974272,4.953629496084789,5.483832049603208,5.143873830577976,4.2052930973036355,6.812629291320221,6.9388662493982904,6.778919664329664,5.543380706535438,5.566165133932721,5.232309403144714
AFI1,3.958679868963423,3.935812392018057,3.919306006187488,4.182445106716189,4.414531980669653,3.8087454791426953,4.62335017322318,4.776701882952176,4.310314689272719,4.169511188108407,4.140006909499233,4.089608698304173,4.735097969896504,4.362501242853077,4.738056840091602,4.168691891535856,4.339558844086081,4.818939115529436
AFR1,5.340418413547453,4.525775336342772,3.5505422649297516,4.338605837471471,3.6960669921254183,4.523398864923604,5.270512240541302,4.987422914267829,4.752147441551758,4.968018884326178,4.013713184174941,3.7569029444784374,6.536984107942488,6.554738278678257,6.460167915029816,5.192801652906044,5.376039351647185,4.8989818232029725
AGC1,2.4362533335189522,3.3712825892802054,3.8812061599552172,2.48471458713641,3.793705461689334,2.619161412268859,2.6196204532790404,3.6780895942840663,3.2917451082781457,1.838755218147665,3.72603111172316,3.5037070480978256,4.049555388721778,3.4536454894664397,3.265584782730659,3.7319742399235865,4.015062798511584,4.149322432379685
AGE1,6.216647896468662,5.721014460699953,5.436792577578729,5.862564604801574,5.043140640092028,4.977316356417716,6.105975643281503,5.280092528230649,4.931488370207575,5.685858677476496,5.066415771538972,4.967433149350533,7.096239989449696,7.065563902444248,6.999437602487327,5.717889723592599,5.631145253664353,5.336882207064291
AGE2,4.382163482574265,4.3860133939676125,3.7238139862037882,7.656508912128369,7.647310710706845,6.604169310453494,3.848285870195348,4.294275733707884,2.924020328152828,7.495745531297107,7.663871800177247,6.97419857412712,7.261742225439182,7.22683205004037,7.262683960513924,7.467941730136425,7.318279771813535,7.1473775873498155
AGP3,3.8014942854410108,3.955230477875159,3.871449985009853,3.980208240221293,2.7405555470979817,3.3473999126400744,4.1951568140374595,3.6011285531479382,3.9654742029809893,3.8048680745204977,3.1535119189518293,3.3381926096202523,5.797436851777778,5.702986067941673,5.435780687678959,4.325037961926549,4.474595127890024,3.7203268268613265
AGX1,5.927697593028886,6.5450167584836345,6.113410456187464,5.572254409943524,6.5977703160311325,6.0321932515780174,6.3651952510695216,6.645650990871362,6.41207475390825,5.784489280918122,6.340990889759358,5.804595787843693,6.084459075970712,6.3336758935678725,6.010288301480904,6.046393790564635,6.663598872081386,6.268655303086823
AHA1,3.6149083298605986,1.9498969083490445,5.048595547102645,3.3209626113370287,3.028237619549763,4.040547093200019,2.84276400459325,0.3822527282797375,4.428097724929103,3.63051468737572,2.2596940429297327,3.4515212949272556,5.628221642489124,5.621640428487721,5.6414203374642975,4.12143900668531,4.0638529626810165,4.259323327594013
AHC1,7.134458385474233,6.44970657867931,5.737200706228089,6.982813393063045,6.757538988162614,6.320463386381353,6.984839969636541,6.4201236482018755,6.0619270904873614,6.945566118324675,6.78870286795226,6.161949618434433,6.7015161231729445,6.512178664259461,6.695693507887235,6.973449896709028,6.764468185295708,6.771628951570128
AHP1,5.762487676707653,5.0344246806861666,5.519354178271749,5.610124683998934,5.581581430890992,5.288371780054805,5.794196019250661,5.272601856501491,5.157612549659922,5.534752140030465,5.345673194331502,4.910966537682762,7.0853821194776465,6.970153717639589,6.925035426153784,5.6641855446207385,5.948996756520182,5.9526427240088156
AHT1,5.907184053195783,6.617370977673291,6.584715321791171,6.181256913995916,6.371099424198954,6.134962176670018,6.361250472778505,7.0915570685380365,6.312169994422508,6.085207558567224,6.612120207827323,6.284734638983472,6.6567243649702075,6.676955911402507,6.650652782462931,6.607688840019778,6.620218576451161,6.4091456660356485
AIF1,4.110229767090624,1.9498969083490445,2.3375196250838974,3.5833268758045196,1.8242648152238268,2.17732865998982,3.8235932576049763,4.232400329989796,2.7416987713588736,3.63051468737572,3.72603111172316,1.6233941815283255,4.735097969896504,4.919982558259867,4.765207829157553,3.213180446508419,3.3864541390892096,3.4791647700444384
AIM11,0.6444938642908974,0.003986759293731071,1.8114265291871186,-0.08023477032512652,1.8242648152238268,2.0595456243334365,0.8278609840509852,2.684837821273783,4.003940483808785,1.2791394302122423,2.365054558587559,1.3720797532474194,4.8837811675416285,5.404832695622597,5.083661560276087,3.605222534284443,3.9460699270246327,3.4791647700444384
AIM14,6.454136729646576,6.620051944426549,6.052199725142567,6.267154439330883,6.202116078487228,5.754655628198009,6.464434709013736,6.753864575511594,6.040001729858396,6.266164858669365,6.31821950734688,5.306702590592806,7.684346577572971,7.825434715047101,7.6959252776830915,6.129869512721957,6.345587260194871,5.893453852618485
AIM17,6.902161452173536,6.995163646414941,6.2746786037835856,6.642395024530321,6.924131243048025,6.18061325669629,7.317825505234321,6.8984458043227015,6.590426926414706,6.798598345403816,6.79824947983584,6.282631588786693,7.515291291521504,7.480979341405581,7.3404066784638955,7.233519595420024,7.138895074692891,6.721401944825813
AIM18,2.1485712610671714,2.3065718522877767,2.079690515781798,4.250498569961205,3.721384800109708,3.591021995297825,3.2702080194201897,1.9916906407138377,2.924020328152828,4.183304510240743,3.8911108620826083,3.5037070480978256,5.916684659923977,5.935460946684767,5.7992815966880915,4.609425138481478,4.386626354944068,3.8846298781526025
AIM19,7.516103696636681,7.876441909357711,7.236037621059447,7.0222645854495225,7.418976194825666,7.225759150248136,7.5149695919175,7.841591623500033,7.633550529465163,7.085779290308151,7.648765772746233,6.988331235417758,7.438557497290115,7.575989446188899,7.34853130000039,7.166729198765063,7.646930886797012,7.479032138766106
