name,LogFC,mean_pg,mean_control,f,f_WT,delta,delta_WT,delta_WT_norm,pvalue,pvalue_WT,padj,padj_WT
IZH4,-0.12109866588077178,7.398266804552859,7.51936547043363,-0.01610490490945484,-4.1512262542416425e-4,-0.12109866588077178,-0.024833211255635312,-0.25796596870951627,0.665172110476742,0.927657115674654,0.9954936997189089,0.999525168978149
JEM1,-0.9806572127506845,4.385138534494006,5.36579574724469,-0.18276081665133212,-0.16707103436730145,-0.9806572127506845,-0.884391758125548,-9.187010663061047,0.12534140564244153,0.15201635586294604,0.9954936997189089,0.999525168978149
JEN1,-0.06745859380177777,9.432605370521282,9.50006396432306,-0.007100856800029412,0.008588925484001265,-0.06745859380177777,0.028806860823358704,0.2992440116294508,0.459409513157235,0.7430340289819719,0.9954936997189089,0.999525168978149
JHD2,-0.39209398667161643,5.591320441223979,5.983414427895595,-0.0655301402563082,-0.049840357972277524,-0.39209398667161643,-0.29582853204647996,-3.0730497580721376,0.561676701852255,0.6558271806886756,0.9954936997189089,0.999525168978149
JID1,1.274244278192395,3.2040311547174154,1.9297868765250203,0.6603031110289935,0.6759928933130243,1.274244278192395,1.3705097328175315,14.23677619509906,0.189089962889412,0.1643263614032613,0.9954936997189089,0.999525168978149
JIP3,-0.03551756730017619,7.124832508985312,7.160350076285488,-0.004960311566023504,0.010729470718007172,-0.03551756730017619,0.06074788732496028,0.6310455558696133,0.8358997315001064,0.7251169581387613,0.9954936997189089,0.999525168978149
JIP4,0.024378645205864302,5.628231696033971,5.603853050828107,0.004350336274835357,0.020040118558866032,0.024378645205864302,0.12064409983100077,1.253243962756902,0.9127684154721356,0.5996576054409164,0.9979039075422546,0.999525168978149
JJJ2,-0.11752112240471568,6.487514115650996,6.605035238055712,-0.017792656385480502,-0.0021028741014498253,-0.11752112240471568,-0.021255667779579213,-0.22080265306334526,0.7265264746540495,0.9491434403461109,0.9954936997189089,0.999525168978149
JJJ3,-0.13159024123089758,4.448466056450305,4.580056297681202,-0.028731140553341947,-0.01304135826931127,-0.13159024123089758,-0.035324786605761105,-0.36695184937647646,0.8390246471189415,0.9563011674928716,0.9954936997189089,0.999525168978149
JLP2,-0.3955502025033786,4.563466720290575,4.959016922793953,-0.07976383397387604,-0.06407405168984537,-0.3955502025033786,-0.2992847478782421,-3.1089527291350265,0.5716743110263218,0.6642104711065568,0.9954936997189089,0.999525168978149
