name,LogFC,pvalue,padj
AAC1,-0.1352807302016347,0.6720676227559156,0.9996574544641568
AAC3,0.022717410432302205,0.958070873747817,0.9996574544641568
AAD3,0.1535491302640819,0.7969833519019871,0.9996574544641568
AAD6,0.04011136980970985,0.9178347334426453,0.9996574544641568
AAH1,0.044442639473747485,0.8994904037090424,0.9996574544641568
AAN1,0.06338668338765666,0.9441042205988304,0.9996574544641568
AAP1,0.1371381785051073,0.7879810451010297,0.9996574544641568
AAT1,0.006904268238029875,0.9868536923246277,0.9996574544641568
ABP1,-0.14022626992027257,0.8248698277755594,0.9996574544641568
ABP140,0.33261915356163146,0.5257093688590295,0.9996574544641568
ABZ1,0.003712061538683284,0.9947647747557021,0.9996574544641568
ACA1,-0.29218384499919375,0.4950685833990198,0.9996574544641568
ACB1,0.01952049264173373,0.9747227279407736,0.9996574544641568
ACF2,-0.14151856076699185,0.8315257679676351,0.9996574544641568
ACF4,-0.052996310453635544,0.929288346404305,0.9996574544641568
ACK1,-0.4794463132499043,0.3184736200198871,0.9996574544641568
ACL4,0.6917137793086473,0.5128443182123413,0.9996574544641568
ACM1,0.3500517787030679,0.3829432783301642,0.9996574544641568
ACO2,-0.4344457958111375,0.6736759095537286,0.9996574544641568
ACS1,0.4133327101325933,0.4333778604471682,0.9996574544641568
ADD66,0.23709887166492669,0.4912828192090496,0.9996574544641568
ADE16,-0.08877285045742556,0.8069058404526797,0.9996574544641568
ADE17,-0.010778264464162066,0.9727050178000461,0.9996574544641568
ADH2,-0.08044623309078959,0.882076899018168,0.9996574544641568
ADH4,-0.26418446057412065,0.8697687910455734,0.9996574544641568
ADH5,0.21159944633139832,0.8225151175967439,0.9996574544641568
ADH6,0.19689378827754989,0.5715468290127989,0.9996574544641568
ADI1,-0.24694982306604565,0.5452200585070988,0.9996574544641568
ADK2,0.03960809787878464,0.9324911419459786,0.9996574544641568
ADY2,0.23800980630737495,0.6322890979279084,0.9996574544641568
ADY3,0.08186462299538168,0.8473627895233826,0.9996574544641568
ADY4,0.565778711324545,0.33039193962877345,0.9996574544641568
AFB1,0.31424284223624044,0.5790060073471226,0.9996574544641568
AFG1,0.010696046612421874,0.983883234325629,0.9996574544641568
AFI1,-0.01701135927704188,0.9731101852238974,0.9996574544641568
AFR1,-0.07505909524097919,0.9104764095708051,0.9996574544641568
AGC1,-0.38576651111660953,0.7180087580623147,0.9996574544641568
AGE1,0.13317362155484416,0.7843283103258007,0.9996574544641568
AGE2,-0.02985073126501567,0.9375660452592453,0.9996574544641568
AGP3,0.0037340122038260846,0.9962444158011596,0.9996574544641568
AGX1,0.19885821472041407,0.672081527943194,0.9996574544641568
AHA1,0.4257908627117575,0.6510448316561138,0.9996574544641568
AHC1,0.08797697051269635,0.7710065584400854,0.9996574544641568
AHP1,0.3264780747894024,0.2782827664658054,0.9996574544641568
AHT1,-0.1989136150777599,0.5852070932353611,0.9996574544641568
AIF1,-0.6275946267462323,0.5790173799860139,0.9996574544641568
AIM14,0.1264974131898302,0.717407463894376,0.9996574544641568
AIM17,-0.04008973530529622,0.8912574535688276,0.9996574544641568
AIM18,0.020024690493255885,0.9716740062829987,0.9996574544641568
AIM19,-0.044619956802832476,0.8987373492673245,0.9996574544641568
AIM20,0.04707107744940079,0.8973171667136771,0.9996574544641568
AIM21,0.25792666683922394,0.7409940459938802,0.9996574544641568
AIM24,-0.1362773442844187,0.8453925530052362,0.9996574544641568
AIM25,0.2323294533214566,0.6193222145102331,0.9996574544641568
AIM26,-0.09220102856507743,0.9158161965225072,0.9996574544641568
AIM32,-0.06480243438227638,0.8662961150179737,0.9996574544641568
AIM33,0.28731921883119427,0.5301985345404522,0.9996574544641568
AIM36,-0.35544273502330115,0.8090341708334527,0.9996574544641568
AIM39,0.03318474873668312,0.8999794291699684,0.9996574544641568
AIM41,0.09356155972419765,0.8030449389728134,0.9996574544641568
AIM46,0.050437042349408955,0.8783915912713219,0.9996574544641568
AIM9,0.1867890753219229,0.6811240492110286,0.9996574544641568
AIP1,-0.19278828908089865,0.6864175034491102,0.9996574544641568
AIP5,0.3474735558859608,0.6489913228602544,0.9996574544641568
AIR1,0.07738544640065587,0.828360838830527,0.9996574544641568
AIT1,0.22345990973246208,0.7252654372548988,0.9996574544641568
AKL1,0.1524304606194925,0.9341575423855041,0.9996574544641568
AKR2,-0.11092015007364144,0.8073450014872027,0.9996574544641568
ALB1,0.7790439732188691,0.44834041130972285,0.9996574544641568
ALD2,-0.5900480632414167,0.18621817575664826,0.9996574544641568
ALD3,-0.15115898132203856,0.7882274089927788,0.9996574544641568
ALD4,-0.4773820613357219,0.6353428603477251,0.9996574544641568
ALD5,0.0814080070828567,0.8685368540584415,0.9996574544641568
ALF1,-0.18085086909215728,0.8419746202271836,0.9996574544641568
ALG12,-0.1178190283551256,0.7354134665869048,0.9996574544641568
ALO1,-0.09034759480040633,0.7567399200446411,0.9996574544641568
ALR2,0.079373537130276,0.8493583832002007,0.9996574544641568
ALT1,0.05093566803703879,0.8880623493824722,0.9996574544641568
ALT2,-0.09531091212891174,0.9256732674774714,0.9996574544641568
ALY1,-0.06986753053064483,0.8778869006993508,0.9996574544641568
ALY2,0.10561847733605391,0.7703636052327136,0.9996574544641568
AMD1,-0.2041027595740834,0.739151931636086,0.9996574544641568
AMD2,0.04511495233448669,0.939212830998413,0.9996574544641568
AMF1,0.07514982978526258,0.8738627809970396,0.9996574544641568
AMN1,-0.062215297357610125,0.9155044053249005,0.9996574544641568
AMS1,-0.10463591069677723,0.8466080120686137,0.9996574544641568
ANR2,9.381300163931113e-4,0.9979556349545414,0.9996574544641568
ANS1,-0.02892933974778542,0.9510977934984605,0.9996574544641568
