name,LogFC,pvalue,padj,exp
AAC1,0.19403470998378777,0.6452896952485851,0.9992707319087202,pg_pd
AAC3,5.199547099815873,4.2464620348744175e-17,3.8457021803331444e-15,pg_pd
AAD3,-0.33899571043854176,0.6240340376872626,0.9992707319087202,pg_pd
AAD6,-0.6253060382944344,0.3848485180762238,0.9992707319087202,pg_pd
AAH1,0.05718171416780025,0.8739055186112675,0.9992707319087202,pg_pd
AAN1,0.5248814618722026,0.7322025054473875,0.9992707319087202,pg_pd
AAP1,-0.389595040245111,0.4050871771724859,0.9992707319087202,pg_pd
AAT1,-0.4946333261805755,0.3662291756867852,0.9992707319087202,pg_pd
ABP1,0.34293759248624195,0.6498302850415336,0.9992707319087202,pg_pd
ABP140,0.4736589676240049,0.5454973042551328,0.9992707319087202,pg_pd
ABZ1,-0.0661608370490779,0.9008579971772406,0.9992707319087202,pg_pd
ACA1,-1.2919069926863602,0.031060257126430502,0.4891990497412804,pg_pd
ACB1,0.01797657195416073,0.9778880899203873,0.9992707319087202,pg_pd
ACF2,0.02585785256993352,0.972389116816366,0.9992707319087202,pg_pd
ACF4,-0.006298446535395916,0.990430315458734,0.9992707319087202,pg_pd
ACK1,0.41221652532514896,0.5569922934306697,0.9992707319087202,pg_pd
ACL4,1.8992359669907284,0.11962566155005708,0.9648792722200354,pg_pd
ACM1,-0.040456214887401795,0.9302461889077052,0.9992707319087202,pg_pd
ACO2,-0.663763246437909,0.6737318104265964,0.9992707319087202,pg_pd
ACS1,-0.07911318067924461,0.9073935560364922,0.9992707319087202,pg_pd
ADD66,0.41319621496072384,0.32005785264394493,0.9992707319087202,pg_pd
ADE16,-0.07612247057731218,0.8372233240778503,0.9992707319087202,pg_pd
ADE17,-0.16207871862185366,0.5976802826456911,0.9992707319087202,pg_pd
ADE3,-22.411192086997403,NA,NA,pg_pd
ADH2,-0.2869448998305307,0.7846650276459127,0.9992707319087202,pg_pd
ADH4,0.26531556687231195,0.8729249914612172,0.9992707319087202,pg_pd
