name	pd1	pd2	pd3	pg1	pg2	pg3	rd1	rd2	rd3	rg1	rg2	rg3	yd1	yd2	yd3	yg1	yg2	yg3
RFM1	234	31	1	123	25	6	111	65	1	152	28	43	376	267	330	88	96	51
RFS1	29	38	7	53	21	34	57	41	32	61	28	70	304	184	239	58	51	34
RFU1	0	0	0	0	0	0	2	0	0	1	0	0	2	2	0	0	0	0
RFX1	346	323	486	570	343	399	325	147	257	554	256	561	539	394	564	642	566	248
RGA1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
RGA2	335	94	82	181	125	86	98	74	74	177	97	122	595	411	452	160	158	92
RGD1	139	100	131	102	26	113	263	90	148	167	21	200	631	521	376	117	174	47
RGD2	1156	628	866	653	341	635	1351	447	544	879	323	637	2305	1187	1727	1072	821	476
RGD3	135	126	467	132	176	156	218	99	167	236	159	323	859	706	630	274	344	137
RGI1	357	282	558	233	191	213	247	220	245	243	224	317	534	327	412	269	204	94
RGI2	408	246	275	181	210	89	377	206	163	232	217	188	608	446	365	257	265	123
RGM1	202	303	619	133	229	131	280	242	90	148	282	93	430	486	422	158	360	94
RGP1	191	60	75	94	51	120	167	31	126	131	75	223	1121	838	827	238	293	116
RGS2	43	102	540	130	263	223	158	151	137	191	260	339	897	541	726	278	243	143
RGT1	1	123	0	0	85	10	0	218	8	7	158	7	360	269	202	79	95	29
RGT2	0	0	2	0	2	0	0	0	0	2	0	0	0	2	0	0	0	0
RHB1	266	81	245	129	91	141	128	63	199	203	120	140	330	325	294	331	506	140
RHO2	376	752	872	284	505	583	384	419	603	243	586	418	419	393	227	348	1154	319
RIB4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RIC1	0	0	83	1	7	31	1	1	73	2	3	47	187	172	144	57	65	13
RIE1	7355	3578	8637	4986	2922	3926	4036	2147	3397	5685	3061	6322	5019	3231	4984	5331	3987	3336
RIF1	0	46	19	3	30	11	0	15	21	6	22	27	194	122	127	46	38	22
RIF2	1411	1891	2863	774	1560	1592	878	1451	1541	885	1684	2261	1192	1172	827	1053	2224	819
RIM101	246	29	563	441	171	321	98	52	286	349	152	435	4213	2844	3304	1099	1125	530
RIM11	415	329	202	298	496	87	329	156	70	286	468	108	604	468	436	374	454	173
RIM13	182	0	353	171	24	98	181	0	90	197	8	116	668	502	614	187	112	92
RIM15	5528	9110	17876	6764	8346	8386	5190	7630	8575	6323	8103	12765	8145	5111	7342	7664	7329	4960
RIM20	28	85	43	86	78	58	11	7	49	104	79	72	1241	889	1027	235	228	150
RIM21	17	23	129	67	36	81	5	1	63	54	36	29	980	637	777	201	162	107
RIM4	546	804	2157	446	795	632	421	726	663	445	805	858	577	376	311	408	1030	442
RIM9	25	40	87	66	55	33	2	16	42	49	29	86	444	347	341	57	65	34
RIP1	0	0	0	0	0	1	0	0	0	0	0	0	4	0	12	2	2	2
RKM1	419	400	376	182	337	228	343	311	325	278	289	297	1745	1398	1468	507	455	217
RKM2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
RKM3	2	21	0	30	27	0	1	19	0	24	13	1	146	133	90	18	26	21
RKM4	161	219	420	143	259	129	171	327	105	116	204	277	927	932	584	624	1087	348
RKM5	132	81	18	238	88	16	103	62	12	204	77	27	475	377	363	69	111	56
RKR1	852	103	168	241	188	121	222	157	174	353	156	104	1035	858	778	268	242	91
RLM1	1831	1247	1929	1445	1087	794	1524	594	674	1540	937	960	1183	698	953	1482	1187	591
RMA1	143	70	186	57	60	23	75	55	20	107	44	32	362	247	262	66	125	76
RMD1	0	0	31	0	3	42	2	1	15	1	1	35	45	70	32	2	12	2
RMD5	25	95	120	83	93	57	47	77	63	87	97	91	397	227	300	265	293	199
RMD6	144	150	483	4145	2597	2399	100	29	135	3552	2302	6179	3831	2246	3233	3161	3034	1978
RMD9	0	16	0	0	15	0	0	0	0	0	16	0	14	19	15	0	8	2
RME1	2534	1868	4499	2657	1865	1693	1708	818	1502	2323	1818	3669	1137	864	1292	2366	1946	1744
RMR1	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
RNH201	484	383	779	803	446	349	528	151	385	799	436	787	876	575	619	851	726	447
RNH202	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNH203	765	709	926	363	514	328	515	434	520	494	433	531	1507	1093	1278	479	532	241
RNH70	526	1022	1828	679	1094	840	635	973	892	628	1047	1119	1648	1113	941	967	1148	665
RNP1	228	635	1141	168	461	401	438	899	358	254	402	465	428	402	317	197	732	302
RNQ1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
RNR3	864	1089	703	3390	2718	1058	919	407	353	3382	2331	1927	2766	2001	2393	3001	3168	1463
ROD1	130	246	246	104	119	57	137	158	97	174	131	51	976	786	770	264	216	105
ROF1	41	38	110	1118	728	484	38	29	15	1067	760	1217	1438	772	1053	1044	890	617
ROG3	680	228	70	383	89	47	573	122	68	459	126	95	1018	747	730	262	217	83
ROM1	28	2	25	12	10	7	8	2	14	14	0	23	3	6	12	13	18	20
ROQ1	3669	1214	3605	1925	1367	1626	3006	1393	2438	2227	1377	2435	3061	1849	2434	2069	1631	1017
ROT2	6	131	177	74	118	45	35	189	135	133	92	47	690	536	402	172	227	64
ROX1	573	247	1312	216	189	166	543	360	314	351	158	392	959	758	609	394	370	123
ROY1	309	140	720	303	204	135	151	245	325	347	185	144	1443	1031	1106	300	353	95
RPA12	0	0	49	0	1	16	1	0	3	1	1	10	246	295	198	26	64	17
RPA14	232	103	238	76	22	63	118	128	98	113	34	79	617	526	478	161	164	68
RPA34	174	7	106	137	14	105	58	26	7	142	8	147	695	689	493	192	290	55
RPB9	0	0	0	0	0	0	0	0	0	0	0	0	15	16	2	0	2	0
RPC34	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
RPE1	1	20	1	0	0	0	1	3	2	0	2	0	110	96	53	12	12	4
RPF2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPG1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
RPH1	0	0	0	0	2	0	0	0	0	1	2	0	2	12	8	0	0	2
RPI1	119	104	134	115	71	69	174	141	133	112	98	84	758	460	531	180	123	68
RPL11B	27	250	182	26	94	14	14	86	32	29	148	31	196	178	136	79	254	101
RPL12A	0	0	0	0	2	0	1	0	0	3	0	0	53	111	27	8	14	4
RPL12B	101	587	206	104	298	49	257	132	36	131	239	66	447	470	305	608	1583	404
RPL13A	2	55	68	10	20	3	275	54	13	16	14	12	319	399	203	80	153	31
RPL13B	0	0	0	0	0	0	0	0	0	0	0	0	8	14	6	2	6	0
RPL14A	0	0	0	0	1	0	0	0	0	0	0	1	34	84	30	0	7	6
RPL15B	147	8	181	39	21	93	119	36	127	64	28	122	510	336	406	128	127	52
RPL16A	383	1787	1138	237	466	735	613	284	896	393	516	677	601	574	592	717	1232	610
