name,delta,SE_delta,t_stat,df,pvalue,padj
STE20,-1.1004851535715305,0.09726522405491289,-11.314271511370098,6.396153479250324,1.822297765479096e-5,0.05610854819910137
MLO127,-0.20826105665322459,0.04498088655494071,-4.629990038076499,6.723116784195747,0.0026642192735034957,0.999940343744442
GNP1,-1.7306080885874073,0.3291409672302285,-5.257954071019292,5.16622777968867,0.002998878802577476,0.999940343744442
SOP4,-0.8984328640953994,0.19480398456431153,-4.61198402129601,5.917228017767748,0.0037776520856552314,0.999940343744442
APL2,-0.7250152688057958,0.17117889843624912,-4.23542431589959,6.8017189804386415,0.004121302359170846,0.999940343744442
PDR5,-0.9910835932964339,0.21740995282120992,-4.558593479441418,5.18340562850995,0.005551321971513963,0.999940343744442
KGD1,-1.4678610464836361,0.31030986976822456,-4.730307313718398,4.726862421852822,0.005998176791256385,0.999940343744442
MRPL50,-0.6080009173019434,0.1377881251820795,-4.412578489608617,5.291047250033135,0.0060763955545575545,0.999940343744442
KTI12,3.5632738046521375,0.7874402662900137,4.525135374953998,4.592154267384471,0.007673066781754992,0.999940343744442
HO,3.5362588179934518,0.9361656308103457,3.7773858616583302,6.341107583059339,0.008308357620867627,0.999940343744442
SPO11,-0.5841859704702435,0.12990221825380197,-4.497120821515653,4.43714038659916,0.00852258112133241,0.999940343744442
MNS1,1.1343311050752343,0.32896035303896115,3.448230446606091,5.946369246717899,0.013858650187548267,0.999940343744442
LSO1,-0.781486302152401,0.24522511735978417,-3.186811818325431,6.71945435160224,0.01621128018243474,0.999940343744442
OST3,-1.0466831290053897,0.31525902036999537,-3.3200735312092826,5.872107972931383,0.016522366153008804,0.999940343744442
UBC4,1.8082264965118164,0.4884179204494532,3.702211611825884,4.43093069316609,0.01734064883268727,0.999940343744442
UNG1,-0.3208529048616562,0.10182803022085926,-3.1509291122075553,6.412876217010695,0.018107131720998468,0.999940343744442
YHR033W,-0.3611399051317896,0.11726654703026027,-3.0796498598922555,6.742483772775608,0.018681893703556825,0.999940343744442
RPS24B,-0.7934669120162523,0.25683889514689684,-3.0893565071693505,5.920513969131433,0.021778327299063153,0.999940343744442
SLM1,0.7336907238778902,0.23808667001410508,3.081611934991673,5.890718468049967,0.022136864752943436,0.999940343744442
GYP8,-0.25137204106098565,0.08256934065382034,-3.044375055807777,5.938130399345651,0.02297286269576818,0.999940343744442
YNL095C,-0.8898944159749149,0.2766034035437827,-3.2172214968210118,4.96463724808093,0.023777137674755307,0.999940343744442
SOL4,0.25460423988992265,0.08805833294080377,2.8913134213099116,6.297477735192249,0.026173789975660364,0.999940343744442
YIR020W-A|YIR020W-B,0.3390229029803171,0.11723170440422999,2.891904580789191,6.273929325812121,0.026263555071881762,0.999940343744442
YKR005C,1.4521435931815851,0.49646710495295115,2.9249542994781113,5.664040514778426,0.028304927017699173,0.999940343744442
FIS1,-0.3345381157958496,0.10042622411318057,-3.3311828533832397,4.057209153350124,0.02845711397898827,0.999940343744442
HLJ1,-2.4186959110376134,0.7171681248418844,-3.372564712871014,3.8443666901421434,0.029735830535972656,0.999940343744442
YJL068C,-0.5567266622584057,0.20166132644135099,-2.760701181940892,6.337051660599989,0.031028457637990704,0.999940343744442
MOT3,-1.234136597495857,0.4659261431693281,-2.648781605387066,5.903688465973313,0.03868314956488447,0.999940343744442
SST2,-1.2680264596404225,0.49644881688238507,-2.5541937386484572,6.671273347610457,0.039443405779297266,0.999940343744442
NPR3,-0.25437763531568613,0.08498116834296962,-2.993341234013882,4.010175617364879,0.040075543397437366,0.999940343744442
YIL086C,-0.5570287834735677,0.21734755787087598,-2.5628481356321147,6.145527009764404,0.04184702768937398,0.999940343744442
MTC1,-1.7010957403916187,0.6934155178037672,-2.4532126794327374,7.435481760105867,0.041938676401522185,0.999940343744442
MNT3,-1.5072404343170223,0.5794675504591212,-2.601078236603261,5.790694626504032,0.04195356797796527,0.999940343744442
PXA1,1.3185994869911006,0.5437563551566226,2.4249822084585912,7.488929270075723,0.04353660592131159,0.999940343744442
NSG1,1.0604966858115121,0.34730899366480966,3.053467388279052,3.448805655104928,0.046054859913558926,0.999940343744442
YNR068C,-0.8193061328402664,0.32791311608753526,-2.4985463912384507,6.07038635452212,0.04616498370579494,0.999940343744442
PDL32,-0.15096722558530118,0.06380487305194536,-2.3660767330795323,7.550772704865045,0.04733511929953013,0.999940343744442
