Description	condition	padj	pvalue	NES	geneID	coverage	setSize	qvalue
aromatic compound biosynthetic process	pg_rg	0.44717716194815404	0.033877057723345004	-1.2242658111937832	EAF3/DNL4/PHD1/YTA7/SET3/RPA14/CSR2/ATP19/STP4/DAT1/OAF3/DIG2/ARO9/GLN3/RTT109/TRP1/GIS1/NAP1/ACA1/SFL1/GAL3/PCL9/LEU3/RTG2/ROX1/SET4/YOR338W/MFT1/HPT1/URA1/GSM1/SSN2/PDX1/IXR1/DAS2/YNG1/GAT1/URA5/PDA1/ARG81/BUD16/RCO1/TIM11/GAT2/UPC2/BUD17/MSN4/POL32/PUT3/ISW2/EUC1/STP2/TRP3/IME1/CKB2/GAT3/PDX3/SIR2/HOS2/PHO23/CAF16/ELP4/HST3/ASH1/ISW1/TFC3/VPS25/RFM1/MBP1/YGR067C/HMT1/MHR1/RGT1/BNA4/RSF1/SWI4/UME1/ELP6/GTR1/HAT2/CAF130/TGS1	22.65193370165746	362	0.5535538662810544
maintenance of DNA repeat elements	pg_rg	0.4541409914271002	0.03705087575852601	1.560115113310424	RAD27/CTF8/FOB1	23.076923076923077	13	0.5726504164826238
nucleosome organization	pg_rg	0.45444818562644945	0.04142202398874224	1.5563002177083216	HHF1/NPL6/ASF1/HHF2	33.33333333333333	12	0.6026650642341879
mitotic recombination	pg_rg	0.4609551007904512	0.04317485792527642	1.5104403006767186	RAD27/SGS1/IRC19/YRF1-6/RAD54/ARP8	30	20	0.6033716294543477
nucleobase-containing compound transport	pg_rg	0.46312788419980766	0.04593003810246026	1.400784125729834	POM34/MSN5/VPS36/VPS20/FCY2/NUP2/POM152/STO1/PXA1/NPL4/VPS27/PXA2/MVB12	20.967741935483872	62	0.6207213021427348
alcohol metabolic process	pg_rg	0.4650397781247785	0.04633316430352476	1.463419700192115	IPK1/KCS1/THI2/YAT2/ORA1/THI12/ADH5/IDP2/NDE2/DDP1/SRT1/THI21/PLC1/ARE1/LCB4	28.30188679245283	53	0.6207213021427348
invasive growth in response to glucose limitation	pg_pd	0.05416859417100634	3.305029382441087e-5	1.9557875722351468	STE7/SDS3/POF1/PTP1/YTA7/SIP2/STE11/STE4/NCS2	29.03225806451613	31	0.024766077079779618
ribonucleoprotein complex biogenesis	pg_pd	0.05416859417100634	4.9741592443531994e-5	1.69014729275627	RPS24B/RTC6/LOT5/RPS18B/RPS14A/RTC3/RPL26B/RPS0A/IXR1/ZUO1/MPP6/ACL4/RPL35B/TIF2/TIF4631/RPS26B/RSA3/SSB1/BRR1/RPL34A/RPL40B/RPS10B/PUF6/RPL37B/CDC73/RPS1A/RPS28B/HIT1/SPT8/SKY1/NGL2/RPS27B/RPS28A/EFG1/RPL26A/RRP8/HPM1/RPL12A/RPL6A/TSR2/SPT4/CGR1/THO1/REI1/RPL14A/RPS6A/RPS16A/HSP82	41.37931034482759	116	0.024766077079779618
silent mating-type cassette heterochromatin formation	pg_pd	0.06442702173533102	1.8413286431223234e-4	1.8940718834308972	SDS3/SIR4/SIR3/ESC2/SIR2/DEP1/SIR1/MRC1/NUP2	37.5	24	0.03436564512198234
response to pheromone	pg_pd	0.08800100903299522	3.2323602950595125e-4	1.81292341861107	STE7/STE2/STE14/FAR1/STE11/STE4/YJR084W/MFA1/STE24/BEM4/SST2/SAG1/RCE1/GPA1/STE20/AFB1/EFG1/FPK1/MFA2	44.18604651162791	43	0.04598214795678646
