pvalue	Description	condition	NES	geneID	coverage	setSize	qvalue	padj
0.003864246185398188	nucleoside phosphate catabolic process	pg_rg	1.7274067462088174	HAM1/TDH1/PFK27/YLR345W/DDP1/PYK2/TDH3/CIT1/TDH2/SCS3	38.46153846153847	26	0.25320371608547887	0.17907081259143093
0.004273320403447041	small molecule metabolic process	pg_rg	1.3133289439571623	ELO3/IPK1/ATP20/STD1/COQ6/ILV1/KCS1/ARF1/CYS3/HAM1/TDH1/MET6/FBP1/GCV3/TKL1/HTD2/THI2/VTC5/YAT2/ISN1/ORA1/YMR315W/PXA1/ELO2/THI12/COQ3/PXA2/PFK27/GAL80/ADH5/YAT1/GLO1/YBR053C/VTC1/DSD1/YLR345W/LSC1/CIR1/GCV1/SER3/IDP2/DCI1/GPD1/TRP4/MPA43/URA4/TAL1/NDE2/YJR096W/NMA2/UBC8/DDP1/URH1/ACS1/PYK2/SOL3/TES1/KGD2/LYS21/DAL7/TDH3/CIT1/APA2/NCA3/YER010C/LAT1/SER1/ARG4/SRT1/THI21/NIT3/LYS20/COQ10/PLC1/TDH2/SCS3	19.587628865979383	388	0.25320371608547887	0.190737820051058
0.0042911630773654	ribonucleoprotein complex biogenesis	pg_rg	1.5631730637538908	BRR1/RPL37B/SPT4/RPL26B/PIH1/ALB1/ACL4/RPL6B/RPL40B/RSA3/PUF6/RPS28A/RPL26A/RPL2A/ZUO1/RPS0A/RPL34A/RPS21B/SSZ1/EFG1/TIF4631/RPS18B/RPS1A/RPA34/SPT8/GEP3/RPL14A/RPL16B/TMA22/HSP82/REX4	26.72413793103448	116	0.25320371608547887	0.190737820051058
0.004600902524158714	organophosphate catabolic process	pg_rg	1.7181239676135047	HAM1/TDH1/PFK27/YLR345W/ATG15/GPD1/DDP1/PYK2/TDH3/CIT1/PLC1/TDH2/SCS3/GDE1	36.84210526315789	38	0.257191725588706	0.19324420716279936
0.006159617871286278	ribosome biogenesis	pg_rg	1.5440481544061426	RPL37B/SPT4/RPL26B/PIH1/ALB1/ACL4/RPL6B/RPL40B/RSA3/PUF6/RPS28A/RPL26A/RPL2A/ZUO1/RPS0A/RPL34A/RPS21B/SSZ1/EFG1/TIF4631/RPS18B/RPS1A/RPA34/SPT8/GEP3/RPL14A/RPL16B	27.27272727272727	99	0.3271081280067292	0.22898601961646928
0.006771921181007077	purine-containing compound catabolic process	pg_rg	1.6729231138152378	TDH1/PFK27/YLR345W/DDP1/URH1/PYK2/TDH3/CIT1/TDH2/SCS3	38.46153846153847	26	0.3381371821428001	0.24407761456794824
0.007231029751829528	purine nucleoside triphosphate metabolic process	pg_rg	1.6628427237558814	ATP20/HAM1/TDH1/PFK27/YLR345W/PYK2/TDH3/NCA3/TDH2	34.61538461538461	26	0.3381371821428001	0.24512080884935417
0.007766656759540495	cellular component biogenesis	pg_rg	1.2949599509707146	BRR1/POM34/ATP20/RPL37B/HHF1/SPT4/SPS1/PET122/RPL26B/PIH1/ALB1/INA22/ACL4/RPL6B/RIM21/RPL40B/MRP7/SDH5/GAS4/MSB4/PUB1/RSA3/POM152/PUF6/RPS28A/RPL26A/ASF1/BIK1/COA3/PET100/SOM1/RBL2/CIN8/HHF2/RAD5/RPL2A/AIP5/ATG27/ZUO1/RPS0A/MVB12/AKL1/RPL34A/TRS85/RPS21B/DCW1/SSZ1/VPS30/SPO73/EFG1/TIF4631/LSB3/ATG29/RPS18B/RPS1A/BIM1/RPA34	14.321608040201006	398	0.3381371821428001	0.24512080884935417
0.007959125942409814	purine nucleotide catabolic process	pg_rg	1.73584122218354	TDH1/PFK27/YLR345W/DDP1/PYK2/TDH3/CIT1/TDH2/SCS3	45	20	0.3381371821428001	0.24512080884935417
0.007959125942409814	purine ribonucleotide catabolic process	pg_rg	1.73584122218354	TDH1/PFK27/YLR345W/DDP1/PYK2/TDH3/CIT1/TDH2/SCS3	45	20	0.3381371821428001	0.24512080884935417
