pvalue	Description	condition	NES	geneID	coverage	setSize	qvalue
0.036427786497471366	fatty acid oxidation	pg_pd	-1.5886155984452321	OAF1/CIR1/MDH3/PXP1/TES1/PEX11/IDP3/POT1/ECI1	69.23076923076923	13	0.5122594654244301
0.036427786497471366	lipid oxidation	pg_pd	-1.5886155984452321	OAF1/CIR1/MDH3/PXP1/TES1/PEX11/IDP3/POT1/ECI1	69.23076923076923	13	0.5122594654244301
0.03702745048991805	regulation of chromatin organization	pg_pd	1.505169718135599	SDS3/SIR4	16.666666666666664	12	0.5122594654244301
0.03702745048991805	reactive oxygen species metabolic process	pg_pd	1.5037864826689085	SOD1/CCS1/TSA1/CTT1/CTA1/LPD1	50	12	0.5122594654244301
0.03870967741935484	cellular respiration	pg_pd	1.4625091338269323	AAC3/KGD1/KGD2/SDH5/SOD1/COQ5/SDH2/MDH2/DMO1/IDH1/MYG1/COX8	26.08695652173913	46	0.5279896697673306
0.03927492447129909	mitotic recombination	pg_pd	1.5180553939904669	BRE1/HO/RAD27/RAD54/ARP8/IES5/NHP10	36.84210526315789	19	0.5282592180350171
0.0407040704070407	RNA processing	pg_pd	1.35300653361333	MSL1/RPS24B/HUB1/CFD1/LOT5/YJR084W/RPS14A/RPS0A/RPS18B/CBT1/NCS2/BUD31/SKY1/BRR1/MTO1/RPS27B/MFT1/RPS1A/RPS28B/ZUO1/TOM1/RTC3/ATS1/ELP6/SSB1/KNS1/MSS1/PET54/SNU66/KTI11/TSR2/LHP1/SWM2/CGR1/RPL35B/QRI5/SLM3/ABP140/UBP8/TAD1/RPL37B/MUD1/PML1	30.935251798561154	139	0.539981900136661
0.04279952835393537	nuclear DNA replication	pg_pd	-1.5322588200950809	HOG1/CLB6/PPS1/RIF1/RAD51/BMH2	60	10	0.5526395240087094
0.04279952835393537	cell cycle DNA replication	pg_pd	-1.5322588200950809	HOG1/CLB6/PPS1/RIF1/RAD51/BMH2	60	10	0.5526395240087094
0.04518412981541182	fatty acid catabolic process	pg_pd	-1.5442267238490601	OAF1/CIR1/MDH3/PXP1/TES1/EHT1/IDP3/POT1/ECI1	60	15	0.557838195090266
0.04644808743169399	protein-containing complex localization	pg_pd	1.4622211361477917	SIR4/SIR3/SIR2/RPS0A/TRS33/RPS18B/RPL40B/RPS28B/ZUO1/SSB1	31.25	32	0.5578542365590669
0.046659655981761076	maintenance of location in cell	pg_pd	-1.4337017710404458	MDM1/PEP8/RER1/NVJ3/BST1/VPS5/NUM1	28.000000000000004	25	0.5578542365590669
0.047809387378465386	nuclear-transcribed mRNA catabolic process	pg_pd	-1.3754858230820288	ECM32/EDC1/ESL2/STO1/JSN1/HBS1/SKI7/LSM7/NMD2/SUS1/MPP6/HEL2/RPS28A/PKH2	31.818181818181817	44	0.5609482464270036
0.04807692307692308	nucleobase-containing compound transport	pg_pd	1.3972939812765828	AAC3/YEA4/YJR084W/MSN5/THP2/STP22/POM34/MFT1/SHE2/MVB12/TOM1/POR2/POM152/NUP188/FLC3/APQ12/HSE1/SNF7	29.03225806451613	62	0.5609482464270036
