gene_id	go_term
CEN16	NA
CEN2	NA
CEN3	NA
CEN4	NA
CEN5	NA
CEN6	NA
CEN7	NA
CEN8	NA
CEN9	NA
ENA6	GO:0003674
ENA6	GO:0005215
ENA6	GO:0005575
ENA6	GO:0006810
ENA6	GO:0006811
ENA6	GO:0006812
ENA6	GO:0006814
ENA6	GO:0008150
ENA6	GO:0009987
ENA6	GO:0015399
ENA6	GO:0015662
ENA6	GO:0022804
ENA6	GO:0022857
ENA6	GO:0030001
ENA6	GO:0034220
ENA6	GO:0035725
ENA6	GO:0042626
ENA6	GO:0051179
ENA6	GO:0051234
ENA6	GO:0055085
ENA6	GO:0098655
ENA6	GO:0098660
ENA6	GO:0098662
ENA6	GO:0140358
ENA6	GO:0140657
ENS2	GO:0003674
ENS2	GO:0003824
ENS2	GO:0004518
ENS2	GO:0004519
ENS2	GO:0005575
ENS2	GO:0005622
ENS2	GO:0005737
ENS2	GO:0005739
ENS2	GO:0006139
ENS2	GO:0006396
ENS2	GO:0006725
ENS2	GO:0006807
ENS2	GO:0008150
ENS2	GO:0008152
ENS2	GO:0008380
ENS2	GO:0009058
ENS2	GO:0009059
ENS2	GO:0009987
ENS2	GO:0010467
ENS2	GO:0016070
ENS2	GO:0016787
ENS2	GO:0016788
ENS2	GO:0034641
ENS2	GO:0043170
ENS2	GO:0043226
ENS2	GO:0043227
ENS2	GO:0043229
ENS2	GO:0043231
ENS2	GO:0044237
ENS2	GO:0044238
ENS2	GO:0044249
ENS2	GO:0046483
ENS2	GO:0071704
ENS2	GO:0090304
ENS2	GO:0110165
ENS2	GO:1901360
ENS2	GO:1901576
ETC1	NA
ETC2	NA
ETC3	NA
ETC4	NA
ETC5	NA
ETC6	NA
ETC7	NA
ETC8	NA
ETS1-1	NA
ETS1-2	NA
ETS2-1	NA
ETS2-2	NA
FPG1	GO:0003674
FPG1	GO:0005575
FPG1	GO:0005618
FPG1	GO:0008150
FPG1	GO:0009277
FPG1	GO:0030312
FPG1	GO:0071944
FPG1	GO:0110165
HML	NA
HMR	NA
HRA1	GO:0000462
HRA1	GO:0003674
HRA1	GO:0005575
HRA1	GO:0006139
HRA1	GO:0006364
HRA1	GO:0006396
HRA1	GO:0006725
HRA1	GO:0006807
HRA1	GO:0008150
HRA1	GO:0008152
HRA1	GO:0009058
HRA1	GO:0009059
HRA1	GO:0009987
HRA1	GO:0010467
HRA1	GO:0016070
HRA1	GO:0016072
HRA1	GO:0022613
HRA1	GO:0030490
HRA1	GO:0034470
HRA1	GO:0034641
HRA1	GO:0034660
HRA1	GO:0042254
HRA1	GO:0042274
HRA1	GO:0043170
HRA1	GO:0044085
HRA1	GO:0044237
HRA1	GO:0044238
HRA1	GO:0044249
HRA1	GO:0046483
HRA1	GO:0071704
HRA1	GO:0071840
HRA1	GO:0090304
HRA1	GO:1901360
HRA1	GO:1901576
HTC1	NA
ICR1	GO:0003674
ICR1	GO:0005575
ICR1	GO:0005622
ICR1	GO:0005634
ICR1	GO:0006139
ICR1	GO:0006351
ICR1	GO:0006355
ICR1	GO:0006357
ICR1	GO:0006366
ICR1	GO:0006725
ICR1	GO:0006807
ICR1	GO:0008150
ICR1	GO:0008152
ICR1	GO:0009058
ICR1	GO:0009059
ICR1	GO:0009889
ICR1	GO:0009987
ICR1	GO:0010467
ICR1	GO:0010468
ICR1	GO:0010556
ICR1	GO:0016070
ICR1	GO:0018130
ICR1	GO:0019219
ICR1	GO:0019222
ICR1	GO:0019438
ICR1	GO:0031323
ICR1	GO:0031326
ICR1	GO:0032774
ICR1	GO:0034641
ICR1	GO:0034654
ICR1	GO:0043170
ICR1	GO:0043226
ICR1	GO:0043227
ICR1	GO:0043229
ICR1	GO:0043231
ICR1	GO:0044237
ICR1	GO:0044238
ICR1	GO:0044249
ICR1	GO:0044271
ICR1	GO:0046483
ICR1	GO:0050789
ICR1	GO:0050794
ICR1	GO:0051171
ICR1	GO:0051252
ICR1	GO:0060255
ICR1	GO:0065007
ICR1	GO:0071704
ICR1	GO:0080090
ICR1	GO:0090304
ICR1	GO:0110165
ICR1	GO:1901360
ICR1	GO:1901362
ICR1	GO:1901576
ICR1	GO:2001141
IMI1	NA
IRT1	NA
ITS1-1	NA
ITS1-2	NA
ITS2-1	NA
ITS2-2	NA
KHR1	GO:0003674
KHR1	GO:0005575
KHR1	GO:0005576
KHR1	GO:0008150
KHR1	GO:0110165
KHS1	GO:0003674
KHS1	GO:0005575
KHS1	GO:0005576
